X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
400489,135354,20094653,2020/06/29 18:37:54+00,2020/06/17 13:00:12+00,2020/06/27 13:45:27+00,800 - 899 BLOCK OF C STREET SE,THEFT/OTHER,OTHERS,DAY,6,6B,1,107,Cluster 26,006600 2,006600,Precinct 89,CAPITOL HILL,400489,135354,38.8860251668,-76.9943638179,941004331,
398012,145403,20097345,2020/07/05 19:32:09+00,2020/07/05 15:45:50+00,2020/07/05 17:10:49+00,7100  - 7199 BLOCK OF 7TH STREET NW,THEFT F/AUTO,OTHERS,EVENING,4,4B,4,401,Cluster 17,010300 3,010300,Precinct 63,,398012,145403,38.9765475164,-77.022942667,941004332,
397610,137008,20075945,2020/05/22 23:03:09+00,2020/05/22 22:05:30+00,2020/05/22 22:35:36+00,1100 - 1199 BLOCK OF NEW YORK AVENUE NW,THEFT/OTHER,OTHERS,EVENING,2,2C,2,209,Cluster 8,010100 2,010100,Precinct 129,DOWNTOWN,397610,137008,38.9009218959,-77.0275527374,941004333,
402151,137291,20102136,2020/07/16 15:16:08+00,2020/07/16 10:47:59+00,2020/07/16 14:53:13+00,1900 - 2099 BLOCK OF MARYLAND AVENUE NE,ROBBERY,OTHERS,DAY,5,5D,5,507,Cluster 23,008903 1,008903,Precinct 78,,402151,137291,38.9034718775,-76.97520165,941004334,
399135,137781,20134087,2020/09/19 21:55:19+00,2020/09/19 18:05:34+00,2020/09/19 18:26:39+00,1 - 99 BLOCK OF HANOVER PLACE NW,THEFT/OTHER,OTHERS,EVENING,5,5E,3,308,Cluster 21,004600 1,004600,Precinct 19,,399135,137781,38.9078881749,-77.0099729896,941004491,
403237,139708,20135302,2020/09/22 14:11:52+00,2020/09/20 22:00:17+00,2020/09/21 18:30:20+00,3120 - 3149 BLOCK OF BANNEKER DRIVE NE,THEFT F/AUTO,OTHERS,DAY,5,5C,5,503,Cluster 24,009000 1,009000,Precinct 139,,403237,139708,38.9252416929,-76.9626700295,941004492,
400649,142380,20135596,2020/09/22 22:20:24+00,2020/09/22 21:50:05+00,2020/09/22 22:16:41+00,4923 - 4999 BLOCK OF SOUTH DAKOTA AVENUE NE,THEFT F/AUTO,OTHERS,EVENING,5,5A,4,405,Cluster 20,009509 1,009509,Precinct 66,,400649,142380,38.949317583,-76.9925130267,941004493,
402708,131608,20135619,2020/09/22 23:21:29+00,2020/09/22 22:20:49+00,2020/09/22 22:26:40+00,2700 - 2799 BLOCK OF KNOX STREET SE,THEFT/OTHER,OTHERS,EVENING,8,8B,7,702,Cluster 36,007502 3,007502,Precinct 115,,402708,131608,38.8522756425,-76.9688025249,941004494,
405745,137503,20136665,2020/09/25 04:10:21+00,2020/09/24 23:10:59+00,2020/09/25 00:30:06+00,1100 - 1199 BLOCK OF 48TH STREET NE,MOTOR VEHICLE THEFT,OTHERS,MIDNIGHT,7,7C,6,602,Cluster 31,007806 2,007806,Precinct 93,,405745,137503,38.9053655051,-76.9337655444,941004495,
397700,138792,20103331,2020/07/18 23:49:17+00,2020/07/18 23:27:44+00,,1000 - 1099 BLOCK OF U STREET NW,MOTOR VEHICLE THEFT,OTHERS,EVENING,1,1B,3,305,Cluster 3,004401 3,004401,Precinct 22,,397700,138792,38.9169930207,-77.0265211617,941004526,
396163,137783,20104065,2020/07/20 18:01:19+00,2020/07/20 17:42:37+00,2020/07/20 17:44:27+00,1900 - 1999 BLOCK OF SUNDERLAND PLACE NW,THEFT F/AUTO,OTHERS,DAY,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 14,,396163,137783,38.9078982421,-77.0442385758,941004527,
398532,137052,20104078,2020/07/20 18:46:14+00,2020/07/20 18:12:04+00,,400 - 448 BLOCK OF I STREET NW,MOTOR VEHICLE THEFT,OTHERS,DAY,6,6E,1,101,Cluster 8,004702 3,004702,Precinct 1,MOUNT VERNON TRIANGLE CID,398532,137052,38.9013202868,-77.0169237004,941004528,
399627,138854,20104339,2020/07/21 06:20:10+00,2020/07/21 04:48:25+00,2020/07/21 04:52:34+00,100 - 199 BLOCK OF UHLAND TERRACE NE,ASSAULT W/DANGEROUS WEAPON,GUN,MIDNIGHT,5,5F,5,502,Cluster 21,008701 2,008701,Precinct 75,,399627,138854,38.9175544677,-77.0043010744,941004529,
